topic,day,mentions,rolling_7d_mentions,rolling_21d_mentions
Digital art,2026-05-05,22.0,3.5714285714285716,1.6666666666666667
Digital art,2026-05-06,10.0,4.857142857142857,2.142857142857143
Mindfulness,2026-04-07,1.0,1.0,1.0
Mindfulness,2026-04-08,0.0,0.5,0.5
Mindfulness,2026-04-09,1.0,0.6666666666666666,0.6666666666666666
Mindfulness,2026-04-10,1.0,0.75,0.75
Mindfulness,2026-04-11,0.0,0.6,0.6
Mindfulness,2026-04-12,1.0,0.6666666666666666,0.6666666666666666
Mindfulness,2026-04-13,3.0,1.0,1.0
Mindfulness,2026-04-14,0.0,0.8571428571428571,0.875
Mindfulness,2026-04-15,0.0,0.8571428571428571,0.7777777777777778
Mindfulness,2026-04-16,0.0,0.7142857142857143,0.7
Mindfulness,2026-04-17,0.0,0.5714285714285714,0.6363636363636364
Mindfulness,2026-04-18,1.0,0.7142857142857143,0.6666666666666666
Mindfulness,2026-04-19,1.0,0.7142857142857143,0.6923076923076923
Mindfulness,2026-04-20,0.0,0.2857142857142857,0.6428571428571429
Mindfulness,2026-04-21,0.0,0.2857142857142857,0.6
Mindfulness,2026-04-22,0.0,0.2857142857142857,0.5625
Mindfulness,2026-04-23,1.0,0.42857142857142855,0.5882352941176471
Mindfulness,2026-04-24,2.0,0.7142857142857143,0.6666666666666666
Mindfulness,2026-04-25,1.0,0.7142857142857143,0.6842105263157895
Mindfulness,2026-04-26,0.0,0.5714285714285714,0.65
Mindfulness,2026-04-27,0.0,0.5714285714285714,0.6190476190476191
Mindfulness,2026-04-28,0.0,0.5714285714285714,0.5714285714285714
Mindfulness,2026-04-29,0.0,0.5714285714285714,0.5714285714285714
Mindfulness,2026-04-30,1.0,0.5714285714285714,0.5714285714285714
Mindfulness,2026-05-01,0.0,0.2857142857142857,0.5238095238095238
Mindfulness,2026-05-02,0.0,0.14285714285714285,0.5238095238095238
Mindfulness,2026-05-03,1.0,0.2857142857142857,0.5238095238095238
Mindfulness,2026-05-04,2.0,0.5714285714285714,0.47619047619047616
Mindfulness,2026-05-05,20.0,3.4285714285714284,1.4285714285714286
Mindfulness,2026-05-06,11.0,5.0,1.9523809523809523
Sustainable fashion,2026-04-06,1.0,1.0,1.0
Sustainable fashion,2026-04-07,0.0,0.5,0.5
Sustainable fashion,2026-04-08,0.0,0.3333333333333333,0.3333333333333333
Sustainable fashion,2026-04-09,0.0,0.25,0.25
Sustainable fashion,2026-04-10,0.0,0.2,0.2
Sustainable fashion,2026-04-11,0.0,0.16666666666666666,0.16666666666666666
Sustainable fashion,2026-04-12,0.0,0.14285714285714285,0.14285714285714285
Sustainable fashion,2026-04-13,0.0,0.0,0.125
Sustainable fashion,2026-04-14,0.0,0.0,0.1111111111111111
Sustainable fashion,2026-04-15,0.0,0.0,0.1
Sustainable fashion,2026-04-16,1.0,0.14285714285714285,0.18181818181818182
Sustainable fashion,2026-04-17,0.0,0.14285714285714285,0.16666666666666666
Sustainable fashion,2026-04-18,1.0,0.2857142857142857,0.23076923076923078
Sustainable fashion,2026-04-19,0.0,0.2857142857142857,0.21428571428571427
Sustainable fashion,2026-04-20,0.0,0.2857142857142857,0.2
Sustainable fashion,2026-04-21,0.0,0.2857142857142857,0.1875
Sustainable fashion,2026-04-22,0.0,0.2857142857142857,0.17647058823529413
Sustainable fashion,2026-04-23,0.0,0.14285714285714285,0.16666666666666666
Sustainable fashion,2026-04-24,0.0,0.14285714285714285,0.15789473684210525
Sustainable fashion,2026-04-25,0.0,0.0,0.15
Sustainable fashion,2026-04-26,0.0,0.0,0.14285714285714285
Sustainable fashion,2026-04-27,1.0,0.14285714285714285,0.14285714285714285
Sustainable fashion,2026-04-28,0.0,0.14285714285714285,0.14285714285714285
Sustainable fashion,2026-04-29,0.0,0.14285714285714285,0.14285714285714285
Sustainable fashion,2026-04-30,0.0,0.14285714285714285,0.14285714285714285
Sustainable fashion,2026-05-01,0.0,0.14285714285714285,0.14285714285714285
Sustainable fashion,2026-05-02,1.0,0.2857142857142857,0.19047619047619047
Sustainable fashion,2026-05-03,0.0,0.2857142857142857,0.19047619047619047
Sustainable fashion,2026-05-04,7.0,1.1428571428571428,0.5238095238095238
Sustainable fashion,2026-05-05,13.0,3.0,1.1428571428571428
Sustainable fashion,2026-05-06,10.0,4.428571428571429,1.619047619047619
cycling,2026-04-05,1.0,1.0,1.0
cycling,2026-04-06,0.0,0.5,0.5
cycling,2026-04-07,0.0,0.3333333333333333,0.3333333333333333
cycling,2026-04-08,0.0,0.25,0.25
cycling,2026-04-09,0.0,0.2,0.2
cycling,2026-04-10,0.0,0.16666666666666666,0.16666666666666666
cycling,2026-04-11,0.0,0.14285714285714285,0.14285714285714285
cycling,2026-04-12,0.0,0.0,0.125
cycling,2026-04-13,1.0,0.14285714285714285,0.2222222222222222
cycling,2026-04-14,0.0,0.14285714285714285,0.2
cycling,2026-04-15,0.0,0.14285714285714285,0.18181818181818182
cycling,2026-04-16,1.0,0.2857142857142857,0.25
cycling,2026-04-17,0.0,0.2857142857142857,0.23076923076923078
cycling,2026-04-18,0.0,0.2857142857142857,0.21428571428571427
cycling,2026-04-19,0.0,0.2857142857142857,0.2
cycling,2026-04-20,0.0,0.14285714285714285,0.1875
cycling,2026-04-21,2.0,0.42857142857142855,0.29411764705882354
cycling,2026-04-22,0.0,0.42857142857142855,0.2777777777777778
cycling,2026-04-23,0.0,0.2857142857142857,0.2631578947368421
cycling,2026-04-24,0.0,0.2857142857142857,0.25
cycling,2026-04-25,0.0,0.2857142857142857,0.23809523809523808
cycling,2026-04-26,0.0,0.2857142857142857,0.19047619047619047
cycling,2026-04-27,0.0,0.2857142857142857,0.19047619047619047
cycling,2026-04-28,0.0,0.0,0.19047619047619047
cycling,2026-04-29,0.0,0.0,0.19047619047619047
cycling,2026-04-30,1.0,0.14285714285714285,0.23809523809523808
cycling,2026-05-01,0.0,0.14285714285714285,0.23809523809523808
cycling,2026-05-02,0.0,0.14285714285714285,0.23809523809523808
cycling,2026-05-03,0.0,0.14285714285714285,0.23809523809523808
cycling,2026-05-04,0.0,0.14285714285714285,0.19047619047619047
cycling,2026-05-05,19.0,2.857142857142857,1.0952380952380953
cycling,2026-05-06,10.0,4.285714285714286,1.5714285714285714
running,2026-04-18,1.0,1.0,1.0
running,2026-04-19,0.0,0.5,0.5
running,2026-04-20,0.0,0.3333333333333333,0.3333333333333333
running,2026-04-21,0.0,0.25,0.25
running,2026-04-22,0.0,0.2,0.2
running,2026-04-23,0.0,0.16666666666666666,0.16666666666666666
running,2026-04-24,0.0,0.14285714285714285,0.14285714285714285
running,2026-04-25,0.0,0.0,0.125
running,2026-04-26,2.0,0.2857142857142857,0.3333333333333333
running,2026-04-27,0.0,0.2857142857142857,0.3
running,2026-04-28,1.0,0.42857142857142855,0.36363636363636365
running,2026-04-29,0.0,0.42857142857142855,0.3333333333333333
